n_cluster,deterministic,det_iter,k,kmeans++,iter
10,8.022312226672646,4,8,8.063026801690174,10
10,8.022312226672646,4,9,9.043538272926035,3
10,8.022312226672646,4,10,8.078659896891539,13
20,3.186203360339003,4,1,3.2430343753168844,3
20,3.186203360339003,4,2,3.3774960512520953,2
20,3.186203360339003,4,3,3.1018283382857246,2
20,3.186203360339003,4,4,3.1223567685304494,3
20,3.186203360339003,4,5,3.314147815064347,4
20,3.186203360339003,4,6,3.6281165833145548,6
20,3.186203360339003,4,7,3.384719979222932,3
20,3.186203360339003,4,8,3.049828296945751,5
20,3.186203360339003,4,9,3.3220273666880042,3
20,3.186203360339003,4,10,3.0620994013089984,2
5,2180.8887433918535,5,1,2301.7292671260293,3
5,2180.8887433918535,5,2,2366.6480884501557,4
5,2180.8887433918535,5,3,2069.20216651846,2
5,2180.8887433918535,5,4,2079.1559740286225,3
5,2180.8887433918535,5,5,2039.5467377480202,4
5,2180.8887433918535,5,6,2071.105286699907,6
5,2180.8887433918535,5,7,2243.460983893242,2
5,2180.8887433918535,5,8,2150.911188963061,2
5,2180.8887433918535,5,9,2036.8347637637085,6
5,2180.8887433918535,5,10,2382.231392400825,4
10,628.2927422592293,4,1,586.271087053582,3
10,628.2927422592293,4,2,655.6347023729874,2
10,628.2927422592293,4,3,544.1913261924742,3
10,628.2927422592293,4,4,561.8697976479363,4
10,628.2927422592293,4,5,560.7359072598146,10
10,628.2927422592293,4,6,577.7238182914814,7
10,628.2927422592293,4,7,598.9063767759095,4
10,628.2927422592293,4,8,662.4194161256682,3
10,628.2927422592293,4,9,783.5758899054978,2
10,628.2927422592293,4,10,594.1648837604452,3
20,177.63784506781084,3,1,181.19428697854568,3
20,177.63784506781084,3,2,182.56395126779185,3
20,177.63784506781084,3,3,178.22199443149822,4
20,177.63784506781084,3,4,190.83497665832365,3
20,177.63784506781084,3,5,173.7098214698877,6
20,177.63784506781084,3,6,172.70966658075469,3
20,177.63784506781084,3,7,167.38965009230975,3
20,177.63784506781084,3,8,173.9842353985489,3
20,177.63784506781084,3,9,174.41426400634816,4
20,177.63784506781084,3,10,187.67500460798053,3
5,5729423591.210971,6,1,5745979133.759782,6
5,5729423591.210971,6,2,5733432489.748139,6
5,5729423591.210971,6,3,5972613105.618769,8
5,5729423591.210971,6,4,5822912027.2801485,8
5,5729423591.210971,6,5,5745979133.759782,12
5,5729423591.210971,6,6,5827556506.011134,6
5,5729423591.210971,6,7,5739498515.769358,12
5,5729423591.210971,6,8,5739498515.769358,8
5,5729423591.210971,6,9,5981118985.294012,17
5,5729423591.210971,6,10,5822912027.2801485,4
10,2532702624.1835837,3,1,2842699916.5577755,6
10,2532702624.1835837,3,2,2365877342.0685353,7
10,2532702624.1835837,3,3,2356164520.344398,6
10,2532702624.1835837,3,4,2432626923.8448086,5
10,2532702624.1835837,3,5,2510490247.6076093,4
10,2532702624.1835837,3,6,2740676499.897512,6
10,2532702624.1835837,3,7,2524277032.1699357,6
10,2532702624.1835837,3,8,2562849975.9846787,7
10,2532702624.1835837,3,9,2423048964.19692,8
10,2532702624.1835837,3,10,2552732288.3345594,5
20,1082690357.7468135,6,1,1120225048.4476693,3
20,1082690357.7468135,6,2,976148517.4698052,5
20,1082690357.7468135,6,3,1073416938.2437949,5
20,1082690357.7468135,6,4,1014568404.9468204,7
20,1082690357.7468135,6,5,1100420289.9835448,6
20,1082690357.7468135,6,6,1133638460.6340861,5
20,1082690357.7468135,6,7,998446793.599415,3
20,1082690357.7468135,6,8,943391453.0648551,6
20,1082690357.7468135,6,9,1069506272.1844176,4
20,1082690357.7468135,6,10,1053504463.5241257,5
5,989292.5031416228,5,1,1061626.894885709,5
5,989292.5031416228,5,2,1019270.033797966,9
5,989292.5031416228,5,3,916424.1943139109,7
5,989292.5031416228,5,4,988299.0792639236,1
5,989292.5031416228,5,5,1012188.319454331,8
5,989292.5031416228,5,6,965064.4197465719,3
5,989292.5031416228,5,7,1061626.894885709,4
5,989292.5031416228,5,8,1019270.033797966,5
5,989292.5031416228,5,9,916424.1943139109,9
5,989292.5031416228,5,10,1061626.894885709,3
10,328305.9468964997,10,1,218080.06491645507,6
10,328305.9468964997,10,2,261843.0740240168,3
10,328305.9468964997,10,3,244511.80436229036,9
10,328305.9468964997,10,4,303413.3236149931,6
10,328305.9468964997,10,5,266667.6895589828,9
10,328305.9468964997,10,6,241536.70679738186,6
10,328305.9468964997,10,7,242573.20079178372,4
10,328305.9468964997,10,8,273572.27037927404,5
10,328305.9468964997,10,9,237957.74195710805,4
10,328305.9468964997,10,10,249302.97405813474,5
20,80169.04482636171,7,1,91691.38899550358,6
20,80169.04482636171,7,2,85636.30404153031,2
20,80169.04482636171,7,3,81615.04296405036,9
20,80169.04482636171,7,4,86685.18227536626,3
20,80169.04482636171,7,5,79876.23503289193,4
20,80169.04482636171,7,6,108763.60590572668,3
20,80169.04482636171,7,7,83107.27096305265,7
20,80169.04482636171,7,8,90771.71421421607,4
20,80169.04482636171,7,9,77681.83165087154,5
20,80169.04482636171,7,10,90768.07611805573,3
